"DOY","ID","Location","Region","Month.Caught","Hatch.Date","Settlement.Date","SL","Age","AP","Reading","increment","incwidth","SST","ID2","cum.deg.day","AP2"
72,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,1,1.48,8.58906264,"Dunany_2009-08-24_D5.1",8.58906264,NA
73,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,2,1.11,8.61237504,"Dunany_2009-08-24_D5.1",17.20143768,NA
74,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,3,1.48,8.511415732,"Dunany_2009-08-24_D5.1",25.712853412,NA
75,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,4,1.85,9.071110061,"Dunany_2009-08-24_D5.1",34.783963473,NA
76,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,5,1.85,9.11441413,"Dunany_2009-08-24_D5.1",43.898377603,NA
77,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,6,1.48,9.04172209,"Dunany_2009-08-24_D5.1",52.940099693,NA
78,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,7,1.48,9.026755847,"Dunany_2009-08-24_D5.1",61.96685554,NA
79,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,8,1.48,8.967208907,"Dunany_2009-08-24_D5.1",70.934064447,NA
80,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,9,1.48,8.907661967,"Dunany_2009-08-24_D5.1",79.841726414,NA
81,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,10,1.48,8.925861583,"Dunany_2009-08-24_D5.1",88.767587997,NA
82,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,11,1.11,8.775262576,"Dunany_2009-08-24_D5.1",97.542850573,NA
83,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,12,1.48,8.712842518,"Dunany_2009-08-24_D5.1",106.255693091,NA
84,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,13,1.48,8.744985902,"Dunany_2009-08-24_D5.1",115.000678993,NA
85,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,14,1.48,8.803188241,"Dunany_2009-08-24_D5.1",123.803867234,NA
86,"Dunany_2009-08-24_D5","Dunany","E. Ireland","August",72,106,50.32,164,34,1,15,1.48,8.771627844,"Dunany_2009-08-24_D5.1",132.575495078,NA
