"DOY","ID","Location","Region","Month.Caught","Hatch.Date","Settlement.Date","SL","Age","AP","Reading","increment","incwidth","SST","ID2","cum.deg.day","AP2"
51,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,1,1.85,10.3822472846872,"Ballyloughan_2008-08-19_1.1",10.3822472846872,NA
52,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,2,1.85,10.3915497169956,"Ballyloughan_2008-08-19_1.1",20.7737970016828,NA
53,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,3,1.48,10.5048914639743,"Ballyloughan_2008-08-19_1.1",31.2786884656571,NA
54,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,4,1.85,10.5526997093468,"Ballyloughan_2008-08-19_1.1",41.8313881750039,NA
55,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,5,1.85,10.5294305491816,"Ballyloughan_2008-08-19_1.1",52.3608187241855,NA
56,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,6,1.48,10.506797919535,"Ballyloughan_2008-08-19_1.1",62.8676166437205,NA
57,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,7,1.48,10.545246596298,"Ballyloughan_2008-08-19_1.1",73.4128632400185,NA
58,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,8,1.85,10.5692970781704,"Ballyloughan_2008-08-19_1.1",83.9821603181889,NA
59,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,9,1.48,10.6482078935291,"Ballyloughan_2008-08-19_1.1",94.630368211718,NA
60,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,10,1.48,10.7776281933609,"Ballyloughan_2008-08-19_1.1",105.407996405079,NA
61,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,11,1.85,10.7713330273826,"Ballyloughan_2008-08-19_1.1",116.179329432462,NA
62,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,12,1.48,10.5395176686553,"Ballyloughan_2008-08-19_1.1",126.718847101117,NA
63,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,13,1.48,10.1598430472694,"Ballyloughan_2008-08-19_1.1",136.878690148386,NA
64,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,14,1.48,10.0106558054153,"Ballyloughan_2008-08-19_1.1",146.889345953801,NA
65,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,15,1.48,10.1230199632859,"Ballyloughan_2008-08-19_1.1",157.012365917087,NA
66,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,16,1.85,10.2102834633624,"Ballyloughan_2008-08-19_1.1",167.22264938045,NA
67,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,17,1.85,10.1932448370812,"Ballyloughan_2008-08-19_1.1",177.415894217531,NA
68,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,18,1.48,10.1373436591709,"Ballyloughan_2008-08-19_1.1",187.553237876702,NA
69,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,19,1.48,10.1704040079547,"Ballyloughan_2008-08-19_1.1",197.723641884657,NA
70,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,20,1.48,10.3091324001836,"Ballyloughan_2008-08-19_1.1",208.03277428484,NA
71,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,21,1.85,10.362170720514,"Ballyloughan_2008-08-19_1.1",218.394945005354,NA
72,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,22,1.48,10.3858588802203,"Ballyloughan_2008-08-19_1.1",228.780803885574,NA
73,"Ballyloughan_2008-08-19_1","Ballyloughan","W. Ireland","August",51,86,45,181,35,1,23,1.85,10.4097641884657,"Ballyloughan_2008-08-19_1.1",239.19056807404,NA
