DOY,ID,Location,Region,Month.Caught,Hatch.Date,Settlement.Date,SL,Age,AP,Reading,increment,incwidth,SST,ID2,cum.deg.day,AP2
63,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,1,1.48,7.99590056,Carradale_2009-08-26_1.1,7.99590056,NA
64,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,2,1.11,8.130313116,Carradale_2009-08-26_1.1,16.12621368,NA
65,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,3,1.48,8.012249074,Carradale_2009-08-26_1.1,24.13846275,NA
66,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,4,1.11,8.075032872,Carradale_2009-08-26_1.1,32.21349562,NA
67,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,5,1.11,8.004077697,Carradale_2009-08-26_1.1,40.21757332,NA
68,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,6,1.48,8.052636229,Carradale_2009-08-26_1.1,48.27020955,NA
69,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,7,1.48,8.089675337,Carradale_2009-08-26_1.1,56.35988489,NA
70,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,8,1.48,8.190413355,Carradale_2009-08-26_1.1,64.55029824,NA
71,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,9,1.48,8.306935473,Carradale_2009-08-26_1.1,72.85723371,NA
72,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,10,1.85,8.388869987,Carradale_2009-08-26_1.1,81.2461037,NA
73,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,11,1.85,8.480103339,Carradale_2009-08-26_1.1,89.72620704,NA
74,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,12,1.85,8.314137597,Carradale_2009-08-26_1.1,98.04034464,NA
75,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,13,1.85,8.176457702,Carradale_2009-08-26_1.1,106.2168023,NA
76,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,14,1.85,8.556773544,Carradale_2009-08-26_1.1,114.7735759,NA
77,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,15,2.23,8.516381636,Carradale_2009-08-26_1.1,123.2899575,NA
78,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,16,1.85,8.824691346,Carradale_2009-08-26_1.1,132.1146489,NA
79,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,17,1.85,8.922321072,Carradale_2009-08-26_1.1,141.0369699,NA
80,Carradale_2009-08-26_1,Carradale,W. Scotland,August,63,93,52.14,175,30,1,18,1.85,8.854733407,Carradale_2009-08-26_1.1,149.8917033,NA
