otolith;id.reading;reading;visual.cp2.DOY
Dunany_2009-08-24_D5;Dunany_2009-08-24_D5.1;1;118
Dunany_2009-08-24_D5;Dunany_2009-08-24_D5.2;2;116
Dunany_2009-08-24_E3;Dunany_2009-08-24_E3.1;1;95
Dunany_2009-08-24_E3;Dunany_2009-08-24_E3.2;2;83
Dunany_2009-08-24_E5;Dunany_2009-08-24_E5.1;1;115
Dunany_2009-08-24_E5;Dunany_2009-08-24_E5.2;2;100
Laytown_2009-08-25_E9;Laytown_2009-08-25_E9.1;1;118
Laytown_2009-08-25_E9;Laytown_2009-08-25_E9.2;2;119
Laytown_2009-08-25_F1;Laytown_2009-08-25_F1.1;1;112
Laytown_2009-08-25_F1;Laytown_2009-08-25_F1.2;2;115
Laytown_2009-08-25_F3;Laytown_2009-08-25_F3.1;1;117
Laytown_2009-08-25_F3;Laytown_2009-08-25_F3.2;2;119
Laytown_2009-08-25_F5;Laytown_2009-08-25_F5.1;1;110
Laytown_2009-08-25_F5;Laytown_2009-08-25_F5.2;2;109
Laytown_2009-08-25_G11;Laytown_2009-08-25_G11.1;1;111
Laytown_2009-08-25_G11;Laytown_2009-08-25_G11.2;2;113
Laytown_2009-08-25_H2;Laytown_2009-08-25_H2.1;1;110
Laytown_2009-08-25_H2;Laytown_2009-08-25_H2.2;2;122
Portmarnock_2009-08-25_C2;Portmarnock_2009-08-25_C2.1;1;109
Portmarnock_2009-08-25_C2;Portmarnock_2009-08-25_C2.2;2;103
Portmarnock_2009-08-25_D2;Portmarnock_2009-08-25_D2.1;1;122
Portmarnock_2009-08-25_D2;Portmarnock_2009-08-25_D2.2;2;122
Skerries_2009-08-24_A10;Skerries_2009-08-24_A10.1;1;109
Skerries_2009-08-24_A10;Skerries_2009-08-24_A10.2;2;115
Skerries_2009-08-24_A7;Skerries_2009-08-24_A7.1;1;98
Skerries_2009-08-24_A7;Skerries_2009-08-24_A7.2;2;114
Skerries_2009-08-24_B4;Skerries_2009-08-24_B4.1;1;124
Skerries_2009-08-24_B4;Skerries_2009-08-24_B4.2;2;121
Skerries_2009-08-24_B6;Skerries_2009-08-24_B6.1;1;123
Skerries_2009-08-24_B6;Skerries_2009-08-24_B6.2;2;129
Skerries_2009-08-24_G1;Skerries_2009-08-24_G1.1;1;105
Skerries_2009-08-24_G1;Skerries_2009-08-24_G1.2;2;103
Ballyloughan_2009-08-12_1;Ballyloughan_2009-08-12_1.1;1;86
Ballyloughan_2009-08-12_1;Ballyloughan_2009-08-12_1.2;2;91
Ballyloughan_2009-08-12_10;Ballyloughan_2009-08-12_10.1;1;91
Ballyloughan_2009-08-12_10;Ballyloughan_2009-08-12_10.2;2;86
Ballyloughan_2009-08-12_2;Ballyloughan_2009-08-12_2.1;1;38
Ballyloughan_2009-08-12_2;Ballyloughan_2009-08-12_2.2;2;41
Ballyloughan_2009-08-12_3;Ballyloughan_2009-08-12_3.1;1;50
Ballyloughan_2009-08-12_3;Ballyloughan_2009-08-12_3.2;2;49
Ballyloughan_2009-08-12_5;Ballyloughan_2009-08-12_5.1;1;54
Ballyloughan_2009-08-12_5;Ballyloughan_2009-08-12_5.2;2;46
Ballyloughan_2009-08-12_6;Ballyloughan_2009-08-12_6.1;1;92
Ballyloughan_2009-08-12_6;Ballyloughan_2009-08-12_6.2;2;107
Ballyloughan_2009-08-12_7;Ballyloughan_2009-08-12_7.1;1;131
Ballyloughan_2009-08-12_7;Ballyloughan_2009-08-12_7.2;2;126
Ballyloughan_2009-08-12_9;Ballyloughan_2009-08-12_9.1;1;129
Ballyloughan_2009-08-12_9;Ballyloughan_2009-08-12_9.2;2;135
Silverstrand_2009-08-07_1;Silverstrand_2009-08-07_1.1;1;87
Silverstrand_2009-08-07_1;Silverstrand_2009-08-07_1.2;2;84
Silverstrand_2009-08-07_2;Silverstrand_2009-08-07_2.1;1;80
Silverstrand_2009-08-07_2;Silverstrand_2009-08-07_2.2;2;114
Silverstrand_2009-08-07_3;Silverstrand_2009-08-07_3.1;1;104
Silverstrand_2009-08-07_3;Silverstrand_2009-08-07_3.2;2;110
Silverstrand_2009-08-07_7;Silverstrand_2009-08-07_7.1;1;76
Silverstrand_2009-08-07_7;Silverstrand_2009-08-07_7.2;2;78
Silverstrand_2009-08-07_9;Silverstrand_2009-08-07_9.1;1;126
Silverstrand_2009-08-07_9;Silverstrand_2009-08-07_9.2;2;131
Carradale_2009-08-26_1;Carradale_2009-08-26_1.1;1;104
Carradale_2009-08-26_1;Carradale_2009-08-26_1.2;2;118
Carradale_2009-08-26_10;Carradale_2009-08-26_10.1;1;135
Carradale_2009-08-26_10;Carradale_2009-08-26_10.2;2;149
Carradale_2009-08-26_11;Carradale_2009-08-26_11.1;1;135
Carradale_2009-08-26_11;Carradale_2009-08-26_11.2;2;128
Carradale_2009-08-26_12;Carradale_2009-08-26_12.1;1;128
Carradale_2009-08-26_12;Carradale_2009-08-26_12.2;2;140
Carradale_2009-08-26_3;Carradale_2009-08-26_3.1;1;76
Carradale_2009-08-26_3;Carradale_2009-08-26_3.2;2;80
Carradale_2009-08-26_4;Carradale_2009-08-26_4.1;1;108
Carradale_2009-08-26_4;Carradale_2009-08-26_4.2;2;123
Carradale_2009-08-26_7;Carradale_2009-08-26_7.1;1;140
Carradale_2009-08-26_7;Carradale_2009-08-26_7.2;2;145
Carradale_2009-08-26_9;Carradale_2009-08-26_9.1;1;110
Carradale_2009-08-26_9;Carradale_2009-08-26_9.2;2;110
Crinan_2009-08-23_1;Crinan_2009-08-23_1.1;1;145
Crinan_2009-08-23_1;Crinan_2009-08-23_1.2;2;143
Crinan_2009-08-23_10;Crinan_2009-08-23_10.1;1;125
Crinan_2009-08-23_10;Crinan_2009-08-23_10.2;2;133
Crinan_2009-08-23_11;Crinan_2009-08-23_11.1;1;120
Crinan_2009-08-23_11;Crinan_2009-08-23_11.2;2;143
Crinan_2009-08-23_2;Crinan_2009-08-23_2.1;1;143
Crinan_2009-08-23_2;Crinan_2009-08-23_2.2;2;146
Crinan_2009-08-23_3;Crinan_2009-08-23_3.1;1;129
